author	text_name	metric	pearson_r	p_value	topic_id	topic_exclusivity	topic_coherence	topic_prevalence	topic_persistence	windows_with_topic	windows_without_topic
woolf	the_mark_on_the_wall	syntax.avg_mean_dependency_distance	-0.450	<0.001	1	1.000	0.515	0.402	5.500	104	28
woolf	an_unwritten_novel	log_prob.token_weighted_mean_surprisal	-0.449	<0.001	0	0.978	0.392	0.085	5.500	50	290
woolf	the_mark_on_the_wall	syntax.max_depth	0.447	0.001	3	0.979	0.811	0.169	2.250	68	64
joyce	Araby	discourse.pronoun_ratio	0.425	0.004	1	0.938	0.643	0.444	12.500	92	51
joyce	Araby	syntax.avg_dependents_per_head.subordinate_clause	0.409	0.003	1	0.938	0.643	0.444	12.500	92	51
woolf	kew_gardens	lexico_semantics.lexical_density_per_token	-0.404	0.032	4	0.844	0.486	0.282	7.000	35	51
joyce	Araby	syntax.avg_dependents_per_head.subordinate_clause	-0.403	0.002	4	1.000	0.744	0.251	3.500	98	45
woolf	the_mark_on_the_wall	syntax.clause_ratios.coordination_ratio	-0.403	<0.001	1	1.000	0.515	0.402	5.500	104	28
woolf	an_unwritten_novel	syntax.clause_counts_per_token.main	0.401	<0.001	0	0.978	0.392	0.085	5.500	50	290
woolf	an_unwritten_novel	lexico_semantics.lexical_diversity_mattr.mattr_score	0.388	<0.001	1	1.000	0.413	0.094	6.000	64	276
